Date,Holiday
2016-01-01,New Years Day
2016-01-18,Martin Luther King Day
2016-02-12,Lincoln's Birthday
2016-02-15,Presidents Day
2016-05-08,Mother's Day
2016-05-30,Memorial Day
2016-06-19,Fathers Day
2016-07-04,Independence Day
2016-09-05,Labor Day
2016-10-10,Columbus Day
2016-11-11,Veterans Day
2016-11-24,Thanksgiving
2016-12-26,Christmas Day (in lieu)
2016-01-01,New Years Day
2016-01-19,Martin Luther King Day
2016-02-12,Lincoln's Birthday
2016-02-16,Presidents Day
2016-05-10,Mother's Day
2016-05-25,Memorial Day
2016-06-21,Fathers Day
2016-07-03,Independence Day (observed)
2016-09-07,Labor Day
2016-10-12,Columbus Day
2016-11-11,Veterans Day
2016-11-26,Thanksgiving
2016-11-27,Day after Thanksgiving
2016-12-25,Christmas Day
