,date,temp,fog,rain,snow,hail,thunder,tornado,visi,dewptm,humidity,wind_speed
0,2015-01-01 00:00:00,-2.2,0,0,0,0,0,0,10.0,-13.3,43,16.7
1,2015-01-01 01:00:00,-2.2,0,0,0,0,0,0,10.0,-12.2,47,14.8
2,2015-01-01 02:00:00,-2.8,0,0,0,0,0,0,10.0,-12.8,47,11.1
3,2015-01-01 03:00:00,-2.8,0,0,0,0,0,0,10.0,-13.9,43,5.6
4,2015-01-01 04:00:00,-2.8,0,0,0,0,0,0,10.0,-14.4,41,5.6
5,2015-01-01 05:00:00,-2.8,0,0,0,0,0,0,10.0,-13.9,43,0.0
6,2015-01-01 06:00:00,-2.8,0,0,0,0,0,0,10.0,-13.9,43,5.6
7,2015-01-01 07:00:00,-2.8,0,0,0,0,0,0,10.0,-13.9,43,11.1
8,2015-01-01 08:00:00,-2.2,0,0,0,0,0,0,10.0,-14.4,39,0.0
9,2015-01-01 09:00:00,-1.1,0,0,0,0,0,0,10.0,-14.4,36,9.3
10,2015-01-01 10:00:00,-0.6,0,0,0,0,0,0,10.0,-14.4,35,5.6
11,2015-01-01 11:00:00,0.6,0,0,0,0,0,0,10.0,-13.9,34,18.5
12,2015-01-01 12:00:00,1.7,0,0,0,0,0,0,10.0,-13.9,31,16.7
13,2015-01-01 13:00:00,2.8,0,0,0,0,0,0,10.0,-13.9,29,11.1
14,2015-01-01 14:00:00,3.3,0,0,0,0,0,0,10.0,-13.3,29,14.8
15,2015-01-01 15:00:00,3.9,0,0,0,0,0,0,10.0,-12.2,30,13.0
16,2015-01-01 16:00:00,3.9,0,0,0,0,0,0,10.0,-11.7,32,18.5
17,2015-01-01 17:00:00,3.9,0,0,0,0,0,0,10.0,-10.6,34,11.1
18,2015-01-01 18:00:00,3.9,0,0,0,0,0,0,10.0,-10.6,34,0.0
19,2015-01-01 19:00:00,3.3,0,0,0,0,0,0,10.0,-9.4,39,11.1
20,2015-01-01 20:00:00,3.3,0,0,0,0,0,0,10.0,-8.9,41,14.8
21,2015-01-01 21:00:00,3.3,0,0,0,0,0,0,10.0,-8.9,41,13.0
22,2015-01-01 22:00:00,3.3,0,0,0,0,0,0,10.0,-8.3,43,16.7
23,2015-01-01 23:00:00,2.8,0,0,0,0,0,0,10.0,-8.3,44,16.7
24,2015-01-02 00:00:00,3.3,0,0,0,0,0,0,10.0,-9.4,39,13.0
25,2015-01-02 01:00:00,2.8,0,0,0,0,0,0,10.0,-8.9,42,13.0
26,2015-01-02 02:00:00,2.8,0,0,0,0,0,0,10.0,-8.9,42,11.1
27,2015-01-02 03:00:00,2.8,0,0,0,0,0,0,10.0,-9.4,41,0.0
28,2015-01-02 04:00:00,2.2,0,0,0,0,0,0,10.0,-8.9,44,5.6
29,2015-01-02 05:00:00,2.2,0,0,0,0,0,0,10.0,-8.9,44,13.0
30,2015-01-02 06:00:00,2.2,0,0,0,0,0,0,10.0,-8.9,44,7.4
31,2015-01-02 07:00:00,2.2,0,0,0,0,0,0,10.0,-8.9,44,11.1
